Block2Type,Block2Stim,Block2Corr
Fix2,stimuli/Wealth/21.jpg,right
Fix2,stimuli/Wealth/3.jpg,right
Fix2,stimuli/Wealth/44.jpg,right
Fix2,stimuli/Wealth/17.jpg,right
Cond,stimuli/Dangerous/36.jpg,left
Fix2,stimuli/Wealth/35.jpg,right
Cond,stimuli/Dangerous/20.jpg,left
Fix2,stimuli/Wealth/22.jpg,right
Fix1,stimuli/Old/10.jpg,left
Cond,stimuli/Dangerous/43.jpg,right
Fix2,stimuli/Wealth/49.jpg,right
Cond,stimuli/Dangerous/44.jpg,left
Fix1,stimuli/Old/52.jpg,left
Fix1,stimuli/Old/29.jpg,left
Fix1,stimuli/Old/6.jpg,left
Fix2,stimuli/Wealth/45.jpg,right
Fix2,stimuli/Wealth/28.jpg,right
Cond,stimuli/Dangerous/28.jpg,left
Fix1,stimuli/Old/13.jpg,left
Cond,stimuli/Dangerous/56.jpg,right
Fix2,stimuli/Wealth/55.jpg,right
Cond,stimuli/Dangerous/22.jpg,left
Fix1,stimuli/Old/9.jpg,left
Fix2,stimuli/Wealth/18.jpg,right
Fix1,stimuli/Old/24.jpg,left
Cond,stimuli/Dangerous/7.jpg,right
Fix1,stimuli/Old/26.jpg,left
Fix1,stimuli/Old/55.jpg,left
Fix1,stimuli/Old/38.jpg,left
Fix2,stimuli/Wealth/23.jpg,right
Fix1,stimuli/Old/3.jpg,left
Fix1,stimuli/Old/50.jpg,left
Fix2,stimuli/Wealth/4.jpg,right
Cond,stimuli/Dangerous/0.jpg,left
Cond,stimuli/Dangerous/8.jpg,right
Fix2,stimuli/Wealth/40.jpg,right
Cond,stimuli/Dangerous/26.jpg,left
Cond,stimuli/Dangerous/57.jpg,right
Fix2,stimuli/Wealth/13.jpg,right
Cond,stimuli/Dangerous/21.jpg,left
Fix1,stimuli/Old/43.jpg,left
Fix1,stimuli/Old/40.jpg,left
Fix2,stimuli/Wealth/10.jpg,right
Fix1,stimuli/Old/0.jpg,left
Cond,stimuli/Dangerous/41.jpg,right
Fix1,stimuli/Old/1.jpg,left
Fix1,stimuli/Old/45.jpg,left
Cond,stimuli/Dangerous/45.jpg,right
Fix1,stimuli/Old/17.jpg,left
Cond,stimuli/Dangerous/47.jpg,right
Fix2,stimuli/Wealth/25.jpg,right
Cond,stimuli/Dangerous/35.jpg,left
Cond,stimuli/Dangerous/49.jpg,right
Fix2,stimuli/Wealth/6.jpg,right
Fix1,stimuli/Old/51.jpg,left
Fix1,stimuli/Old/44.jpg,left
Cond,stimuli/Dangerous/13.jpg,right
Fix2,stimuli/Wealth/48.jpg,right
Fix1,stimuli/Old/32.jpg,left
Fix1,stimuli/Old/12.jpg,left
Fix1,stimuli/Old/4.jpg,left
Fix1,stimuli/Old/19.jpg,left
Cond,stimuli/Dangerous/17.jpg,right
Cond,stimuli/Dangerous/59.jpg,left
Cond,stimuli/Dangerous/27.jpg,right
Cond,stimuli/Dangerous/3.jpg,left
Fix2,stimuli/Wealth/29.jpg,right
Fix1,stimuli/Old/22.jpg,left
Fix1,stimuli/Old/54.jpg,left
Fix1,stimuli/Old/20.jpg,left
Cond,stimuli/Dangerous/24.jpg,right
Cond,stimuli/Dangerous/52.jpg,left
Fix2,stimuli/Wealth/7.jpg,right
Fix2,stimuli/Wealth/59.jpg,right
Fix2,stimuli/Wealth/52.jpg,right
Fix2,stimuli/Wealth/50.jpg,right
Fix2,stimuli/Wealth/20.jpg,right
Fix1,stimuli/Old/59.jpg,left
Cond,stimuli/Dangerous/9.jpg,right
Cond,stimuli/Dangerous/33.jpg,left
Cond,stimuli/Dangerous/6.jpg,right
Fix2,stimuli/Wealth/56.jpg,right
Fix2,stimuli/Wealth/30.jpg,right
Fix1,stimuli/Old/49.jpg,left
Cond,stimuli/Dangerous/42.jpg,right
Cond,stimuli/Dangerous/19.jpg,left
Fix1,stimuli/Old/30.jpg,left
Fix1,stimuli/Old/18.jpg,left
Fix1,stimuli/Old/47.jpg,left
Fix2,stimuli/Wealth/46.jpg,right
Cond,stimuli/Dangerous/5.jpg,left
Fix1,stimuli/Old/58.jpg,left
Fix1,stimuli/Old/57.jpg,left
Fix1,stimuli/Old/36.jpg,left
Fix1,stimuli/Old/34.jpg,left
Fix1,stimuli/Old/23.jpg,left
Fix1,stimuli/Old/14.jpg,left
Fix1,stimuli/Old/41.jpg,left
Fix1,stimuli/Old/28.jpg,left
Fix2,stimuli/Wealth/19.jpg,right
Fix1,stimuli/Old/53.jpg,left
Fix2,stimuli/Wealth/47.jpg,right
Cond,stimuli/Dangerous/10.jpg,left
Fix2,stimuli/Wealth/42.jpg,right
Fix2,stimuli/Wealth/38.jpg,right
Cond,stimuli/Dangerous/11.jpg,left
Cond,stimuli/Dangerous/16.jpg,right
Fix2,stimuli/Wealth/2.jpg,right
Fix1,stimuli/Old/35.jpg,left
Cond,stimuli/Dangerous/48.jpg,right
Fix2,stimuli/Wealth/0.jpg,right
Fix2,stimuli/Wealth/26.jpg,right
Fix2,stimuli/Wealth/58.jpg,right
Fix2,stimuli/Wealth/54.jpg,right
Cond,stimuli/Dangerous/4.jpg,left
Cond,stimuli/Dangerous/30.jpg,right
Fix2,stimuli/Wealth/31.jpg,right
Fix2,stimuli/Wealth/8.jpg,right
Cond,stimuli/Dangerous/50.jpg,left
Cond,stimuli/Dangerous/58.jpg,right
Cond,stimuli/Dangerous/53.jpg,left
Fix2,stimuli/Wealth/9.jpg,right
Cond,stimuli/Dangerous/32.jpg,left
Cond,stimuli/Dangerous/39.jpg,right
Cond,stimuli/Dangerous/15.jpg,left
Fix2,stimuli/Wealth/11.jpg,right
Cond,stimuli/Dangerous/12.jpg,left
Fix2,stimuli/Wealth/33.jpg,right
Fix1,stimuli/Old/27.jpg,left
Fix1,stimuli/Old/21.jpg,left
Fix2,stimuli/Wealth/27.jpg,right
Fix2,stimuli/Wealth/15.jpg,right
Cond,stimuli/Dangerous/40.jpg,left
Fix2,stimuli/Wealth/41.jpg,right
Fix2,stimuli/Wealth/37.jpg,right
Fix1,stimuli/Old/8.jpg,left
Fix2,stimuli/Wealth/51.jpg,right
Fix1,stimuli/Old/56.jpg,left
Fix1,stimuli/Old/7.jpg,left
Cond,stimuli/Dangerous/14.jpg,right
Cond,stimuli/Dangerous/2.jpg,left
Fix1,stimuli/Old/42.jpg,left
Fix2,stimuli/Wealth/16.jpg,right
Fix2,stimuli/Wealth/5.jpg,right
Fix2,stimuli/Wealth/34.jpg,right
Fix1,stimuli/Old/46.jpg,left
Fix2,stimuli/Wealth/43.jpg,right
Cond,stimuli/Dangerous/29.jpg,left
Fix2,stimuli/Wealth/1.jpg,right
Fix2,stimuli/Wealth/57.jpg,right
Fix1,stimuli/Old/25.jpg,left
Fix1,stimuli/Old/33.jpg,left
Cond,stimuli/Dangerous/25.jpg,right
Cond,stimuli/Dangerous/54.jpg,left
Fix2,stimuli/Wealth/12.jpg,right
Fix1,stimuli/Old/15.jpg,left
Cond,stimuli/Dangerous/23.jpg,right
Fix1,stimuli/Old/31.jpg,left
Cond,stimuli/Dangerous/51.jpg,right
Fix1,stimuli/Old/11.jpg,left
Fix2,stimuli/Wealth/39.jpg,right
Cond,stimuli/Dangerous/34.jpg,left
Fix1,stimuli/Old/2.jpg,left
Fix1,stimuli/Old/16.jpg,left
Cond,stimuli/Dangerous/46.jpg,right
Fix2,stimuli/Wealth/36.jpg,right
Fix2,stimuli/Wealth/32.jpg,right
Cond,stimuli/Dangerous/18.jpg,left
Fix2,stimuli/Wealth/53.jpg,right
Cond,stimuli/Dangerous/1.jpg,left
Cond,stimuli/Dangerous/38.jpg,right
Fix2,stimuli/Wealth/24.jpg,right
Cond,stimuli/Dangerous/31.jpg,left
Cond,stimuli/Dangerous/37.jpg,right
Cond,stimuli/Dangerous/55.jpg,left
Fix1,stimuli/Old/37.jpg,left
Fix1,stimuli/Old/39.jpg,left
Fix1,stimuli/Old/5.jpg,left
Fix2,stimuli/Wealth/14.jpg,right
Fix1,stimuli/Old/48.jpg,left
