Block3Type,Block3Stim,Block3Corr,Block3RespL,Block3RespM,Block3RespR,Block3CorrAlpha
Fix3,stimuli/Healthy/51.jpg,^,~,+,^,right
Fix2,stimuli/Dangerous/54.jpg,+,~,+,^,down
Fix1,stimuli/Soft/6.jpg,~,~,^,+,left
Fix2,stimuli/Dangerous/7.jpg,+,~,+,^,down
Fix2,stimuli/Dangerous/51.jpg,+,~,^,+,right
Fix1,stimuli/Soft/11.jpg,~,^,~,+,down
Fix2,stimuli/Dangerous/10.jpg,+,+,^,~,left
Fix2,stimuli/Dangerous/12.jpg,+,^,~,+,right
Fix3,stimuli/Healthy/60.jpg,^,+,^,~,down
Fix3,stimuli/Healthy/24.jpg,^,~,+,^,right
Fix1,stimuli/Soft/4.jpg,~,~,+,^,left
Fix3,stimuli/Healthy/54.jpg,^,^,~,+,left
Fix1,stimuli/Soft/29.jpg,~,+,^,~,right
Fix1,stimuli/Soft/42.jpg,~,~,+,^,left
Fix3,stimuli/Healthy/18.jpg,^,~,^,+,down
