Block3Type,Block3Stim,Block3Corr
Fix2,stimuli/Small/15.jpg,right
Fix2,stimuli/Small/18.jpg,right
Fix1,stimuli/Healthy/44.jpg,left
Cond,stimuli/Dangerous/41.jpg,right
Cond,stimuli/Dangerous/35.jpg,left
Cond,stimuli/Dangerous/29.jpg,right
Fix2,stimuli/Small/27.jpg,right
Fix1,stimuli/Healthy/31.jpg,left
Fix1,stimuli/Healthy/28.jpg,left
Cond,stimuli/Dangerous/42.jpg,right
Cond,stimuli/Dangerous/56.jpg,left
Fix1,stimuli/Healthy/25.jpg,left
Fix2,stimuli/Small/16.jpg,right
Fix2,stimuli/Small/31.jpg,right
Cond,stimuli/Dangerous/36.jpg,left
Fix1,stimuli/Healthy/64.jpg,left
Cond,stimuli/Dangerous/13.jpg,right
Cond,stimuli/Dangerous/33.jpg,left
Fix1,stimuli/Healthy/48.jpg,left
Fix2,stimuli/Small/59.jpg,right
Fix2,stimuli/Small/36.jpg,right
Fix2,stimuli/Small/29.jpg,right
Cond,stimuli/Dangerous/8.jpg,left
Cond,stimuli/Dangerous/28.jpg,right
Fix2,stimuli/Small/30.jpg,right
Fix1,stimuli/Healthy/39.jpg,left
Fix2,stimuli/Small/24.jpg,right
Cond,stimuli/Dangerous/43.jpg,left
Fix1,stimuli/Healthy/63.jpg,left
Cond,stimuli/Dangerous/53.jpg,right
Fix2,stimuli/Small/8.jpg,right
Fix1,stimuli/Healthy/42.jpg,left
Fix2,stimuli/Small/39.jpg,right
Cond,stimuli/Dangerous/59.jpg,left
Fix2,stimuli/Small/38.jpg,right
Fix2,stimuli/Small/50.jpg,right
Fix1,stimuli/Healthy/55.jpg,left
Cond,stimuli/Dangerous/4.jpg,right
Cond,stimuli/Dangerous/17.jpg,left
Fix1,stimuli/Healthy/41.jpg,left
Fix1,stimuli/Healthy/43.jpg,left
Fix1,stimuli/Healthy/0.jpg,left
Fix1,stimuli/Healthy/22.jpg,left
Fix2,stimuli/Small/33.jpg,right
Fix2,stimuli/Small/40.jpg,right
Cond,stimuli/Dangerous/60.jpg,left
Fix1,stimuli/Healthy/9.jpg,left
Cond,stimuli/Dangerous/21.jpg,right
Fix2,stimuli/Small/58.jpg,right
Fix2,stimuli/Small/3.jpg,right
Fix2,stimuli/Small/19.jpg,right
Fix2,stimuli/Small/52.jpg,right
Fix2,stimuli/Small/5.jpg,right
Fix2,stimuli/Small/57.jpg,right
Fix2,stimuli/Small/46.jpg,right
Fix1,stimuli/Healthy/26.jpg,left
Fix2,stimuli/Small/56.jpg,right
Fix1,stimuli/Healthy/34.jpg,left
Cond,stimuli/Dangerous/52.jpg,right
Cond,stimuli/Dangerous/44.jpg,left
Fix1,stimuli/Healthy/40.jpg,left
Fix1,stimuli/Healthy/12.jpg,left
Cond,stimuli/Dangerous/11.jpg,right
Cond,stimuli/Dangerous/31.jpg,left
Cond,stimuli/Dangerous/62.jpg,right
Fix2,stimuli/Small/43.jpg,right
Cond,stimuli/Dangerous/38.jpg,left
Fix2,stimuli/Small/37.jpg,right
Cond,stimuli/Dangerous/55.jpg,left
Cond,stimuli/Dangerous/47.jpg,right
Fix2,stimuli/Small/28.jpg,right
Fix1,stimuli/Healthy/53.jpg,left
Cond,stimuli/Dangerous/2.jpg,right
Fix1,stimuli/Healthy/10.jpg,left
Fix2,stimuli/Small/42.jpg,right
Fix2,stimuli/Small/53.jpg,right
Fix2,stimuli/Small/47.jpg,right
Fix2,stimuli/Small/12.jpg,right
Fix1,stimuli/Healthy/19.jpg,left
Fix2,stimuli/Small/35.jpg,right
Cond,stimuli/Dangerous/14.jpg,left
Fix1,stimuli/Healthy/33.jpg,left
Fix1,stimuli/Healthy/61.jpg,left
Fix1,stimuli/Healthy/1.jpg,left
Fix2,stimuli/Small/13.jpg,right
Fix2,stimuli/Small/26.jpg,right
Cond,stimuli/Dangerous/20.jpg,left
Fix1,stimuli/Healthy/29.jpg,left
Fix2,stimuli/Small/21.jpg,right
Fix1,stimuli/Healthy/11.jpg,left
Cond,stimuli/Dangerous/10.jpg,right
Fix1,stimuli/Healthy/57.jpg,left
Cond,stimuli/Dangerous/12.jpg,right
Fix1,stimuli/Healthy/13.jpg,left
Cond,stimuli/Dangerous/49.jpg,right
Cond,stimuli/Dangerous/37.jpg,left
Fix2,stimuli/Small/9.jpg,right
Cond,stimuli/Dangerous/25.jpg,left
Fix1,stimuli/Healthy/8.jpg,left
Cond,stimuli/Dangerous/46.jpg,right
Fix2,stimuli/Small/14.jpg,right
Fix1,stimuli/Healthy/47.jpg,left
Cond,stimuli/Dangerous/0.jpg,right
Fix2,stimuli/Small/45.jpg,right
Fix1,stimuli/Healthy/69.jpg,left
Cond,stimuli/Dangerous/26.jpg,right
Cond,stimuli/Dangerous/19.jpg,left
Fix2,stimuli/Small/48.jpg,right
Cond,stimuli/Dangerous/34.jpg,left
Fix2,stimuli/Small/23.jpg,right
Fix1,stimuli/Healthy/14.jpg,left
Cond,stimuli/Dangerous/7.jpg,right
Cond,stimuli/Dangerous/58.jpg,left
Fix2,stimuli/Small/41.jpg,right
Cond,stimuli/Dangerous/61.jpg,left
Fix1,stimuli/Healthy/46.jpg,left
Fix1,stimuli/Healthy/62.jpg,left
Fix1,stimuli/Healthy/37.jpg,left
Fix2,stimuli/Small/6.jpg,right
Fix2,stimuli/Small/17.jpg,right
Cond,stimuli/Dangerous/27.jpg,left
Fix1,stimuli/Healthy/60.jpg,left
Fix2,stimuli/Small/11.jpg,right
Fix1,stimuli/Healthy/49.jpg,left
Fix1,stimuli/Healthy/54.jpg,left
Cond,stimuli/Dangerous/6.jpg,right
Fix2,stimuli/Small/22.jpg,right
Fix2,stimuli/Small/2.jpg,right
Fix1,stimuli/Healthy/4.jpg,left
Fix1,stimuli/Healthy/16.jpg,left
Fix1,stimuli/Healthy/6.jpg,left
Cond,stimuli/Dangerous/18.jpg,right
