Block2Type,Block2Stim,Block2Corr
Fix1,stimuli/Old/11.jpg,left
Fix2,stimuli/Healthy/55.jpg,right
Fix2,stimuli/Healthy/47.jpg,right
Fix1,stimuli/Old/44.jpg,left
Fix1,stimuli/Old/45.jpg,left
Fix2,stimuli/Healthy/29.jpg,right
Cond,stimuli/Dangerous/6.jpg,left
Cond,stimuli/Dangerous/42.jpg,right
Cond,stimuli/Dangerous/29.jpg,left
Fix1,stimuli/Old/31.jpg,left
Cond,stimuli/Dangerous/16.jpg,right
Cond,stimuli/Dangerous/14.jpg,left
Fix1,stimuli/Old/13.jpg,left
Fix2,stimuli/Healthy/36.jpg,right
Cond,stimuli/Dangerous/39.jpg,left
Cond,stimuli/Dangerous/13.jpg,right
Cond,stimuli/Dangerous/21.jpg,left
Cond,stimuli/Dangerous/23.jpg,right
Fix1,stimuli/Old/42.jpg,left
Fix1,stimuli/Old/53.jpg,left
Fix1,stimuli/Old/39.jpg,left
Fix1,stimuli/Old/4.jpg,left
Fix1,stimuli/Old/46.jpg,left
Fix1,stimuli/Old/50.jpg,left
Cond,stimuli/Dangerous/50.jpg,right
Fix1,stimuli/Old/38.jpg,left
Fix1,stimuli/Old/33.jpg,left
Fix2,stimuli/Healthy/2.jpg,right
Cond,stimuli/Dangerous/15.jpg,left
Fix2,stimuli/Healthy/27.jpg,right
Fix1,stimuli/Old/57.jpg,left
Fix2,stimuli/Healthy/9.jpg,right
Cond,stimuli/Dangerous/34.jpg,left
Cond,stimuli/Dangerous/43.jpg,right
Fix2,stimuli/Healthy/57.jpg,right
Fix1,stimuli/Old/40.jpg,left
Fix1,stimuli/Old/36.jpg,left
Cond,stimuli/Dangerous/46.jpg,right
Fix1,stimuli/Old/0.jpg,left
Cond,stimuli/Dangerous/33.jpg,right
Fix1,stimuli/Old/20.jpg,left
Fix2,stimuli/Healthy/13.jpg,right
Fix2,stimuli/Healthy/15.jpg,right
Cond,stimuli/Dangerous/31.jpg,left
Cond,stimuli/Dangerous/12.jpg,right
Cond,stimuli/Dangerous/17.jpg,left
Fix1,stimuli/Old/8.jpg,left
Fix1,stimuli/Old/27.jpg,left
Cond,stimuli/Dangerous/59.jpg,right
Fix1,stimuli/Old/37.jpg,left
Fix1,stimuli/Old/58.jpg,left
Fix1,stimuli/Old/25.jpg,left
Cond,stimuli/Dangerous/5.jpg,right
Fix1,stimuli/Old/17.jpg,left
Fix1,stimuli/Old/2.jpg,left
Fix1,stimuli/Old/28.jpg,left
Cond,stimuli/Dangerous/28.jpg,right
Fix2,stimuli/Healthy/8.jpg,right
Fix1,stimuli/Old/14.jpg,left
Cond,stimuli/Dangerous/20.jpg,right
Fix2,stimuli/Healthy/64.jpg,right
Fix1,stimuli/Old/24.jpg,left
Fix1,stimuli/Old/26.jpg,left
Fix2,stimuli/Healthy/32.jpg,right
Fix2,stimuli/Healthy/42.jpg,right
Fix2,stimuli/Healthy/43.jpg,right
Fix1,stimuli/Old/18.jpg,left
Cond,stimuli/Dangerous/27.jpg,right
Cond,stimuli/Dangerous/38.jpg,left
Cond,stimuli/Dangerous/7.jpg,right
Fix2,stimuli/Healthy/19.jpg,right
Cond,stimuli/Dangerous/22.jpg,left
Fix1,stimuli/Old/29.jpg,left
Fix2,stimuli/Healthy/4.jpg,right
Fix2,stimuli/Healthy/69.jpg,right
Fix1,stimuli/Old/7.jpg,left
Fix2,stimuli/Healthy/46.jpg,right
Fix1,stimuli/Old/10.jpg,left
Fix1,stimuli/Old/3.jpg,left
Cond,stimuli/Dangerous/45.jpg,right
Fix2,stimuli/Healthy/6.jpg,right
Fix1,stimuli/Old/6.jpg,left
Fix2,stimuli/Healthy/30.jpg,right
Cond,stimuli/Dangerous/47.jpg,left
Fix2,stimuli/Healthy/50.jpg,right
Fix2,stimuli/Healthy/44.jpg,right
Cond,stimuli/Dangerous/44.jpg,left
Fix2,stimuli/Healthy/61.jpg,right
Fix2,stimuli/Healthy/63.jpg,right
Fix2,stimuli/Healthy/56.jpg,right
Fix2,stimuli/Healthy/21.jpg,right
Fix2,stimuli/Healthy/68.jpg,right
Cond,stimuli/Dangerous/10.jpg,left
Fix2,stimuli/Healthy/51.jpg,right
Fix2,stimuli/Healthy/67.jpg,right
Fix1,stimuli/Old/49.jpg,left
Fix2,stimuli/Healthy/28.jpg,right
Fix1,stimuli/Old/35.jpg,left
Fix2,stimuli/Healthy/10.jpg,right
Fix1,stimuli/Old/30.jpg,left
Cond,stimuli/Dangerous/53.jpg,right
Fix1,stimuli/Old/22.jpg,left
Fix1,stimuli/Old/16.jpg,left
Fix1,stimuli/Old/56.jpg,left
Cond,stimuli/Dangerous/32.jpg,right
Cond,stimuli/Dangerous/9.jpg,left
Fix1,stimuli/Old/23.jpg,left
Fix2,stimuli/Healthy/37.jpg,right
Fix2,stimuli/Healthy/48.jpg,right
Fix2,stimuli/Healthy/33.jpg,right
Fix2,stimuli/Healthy/1.jpg,right
Fix1,stimuli/Old/34.jpg,left
Cond,stimuli/Dangerous/57.jpg,right
Fix1,stimuli/Old/1.jpg,left
Cond,stimuli/Dangerous/18.jpg,right
Fix1,stimuli/Old/12.jpg,left
Cond,stimuli/Dangerous/35.jpg,right
Cond,stimuli/Dangerous/26.jpg,left
Fix1,stimuli/Old/59.jpg,left
Fix2,stimuli/Healthy/58.jpg,right
Fix2,stimuli/Healthy/20.jpg,right
Fix1,stimuli/Old/43.jpg,left
Fix2,stimuli/Healthy/66.jpg,right
Fix1,stimuli/Old/41.jpg,left
Fix2,stimuli/Healthy/12.jpg,right
Fix2,stimuli/Healthy/54.jpg,right
Cond,stimuli/Dangerous/1.jpg,left
Fix1,stimuli/Old/55.jpg,left
Cond,stimuli/Dangerous/40.jpg,right
Cond,stimuli/Dangerous/52.jpg,left
Cond,stimuli/Dangerous/48.jpg,right
Cond,stimuli/Dangerous/30.jpg,left
Fix2,stimuli/Healthy/22.jpg,right
Fix2,stimuli/Healthy/16.jpg,right
Cond,stimuli/Dangerous/36.jpg,left
Fix1,stimuli/Old/15.jpg,left
Fix2,stimuli/Healthy/26.jpg,right
Cond,stimuli/Dangerous/19.jpg,left
Fix2,stimuli/Healthy/18.jpg,right
Cond,stimuli/Dangerous/54.jpg,left
Fix1,stimuli/Old/51.jpg,left
Cond,stimuli/Dangerous/49.jpg,right
Fix2,stimuli/Healthy/38.jpg,right
Fix2,stimuli/Healthy/52.jpg,right
Fix1,stimuli/Old/54.jpg,left
Fix1,stimuli/Old/47.jpg,left
Fix2,stimuli/Healthy/17.jpg,right
Fix2,stimuli/Healthy/39.jpg,right
Cond,stimuli/Dangerous/11.jpg,left
Cond,stimuli/Dangerous/41.jpg,right
Cond,stimuli/Dangerous/56.jpg,left
Cond,stimuli/Dangerous/58.jpg,right
Cond,stimuli/Dangerous/55.jpg,left
Fix2,stimuli/Healthy/45.jpg,right
Fix1,stimuli/Old/9.jpg,left
Fix2,stimuli/Healthy/0.jpg,right
Fix2,stimuli/Healthy/11.jpg,right
Cond,stimuli/Dangerous/24.jpg,left
Fix2,stimuli/Healthy/60.jpg,right
Fix1,stimuli/Old/32.jpg,left
Cond,stimuli/Dangerous/0.jpg,right
Fix1,stimuli/Old/52.jpg,left
Cond,stimuli/Dangerous/51.jpg,right
Cond,stimuli/Dangerous/25.jpg,left
Cond,stimuli/Dangerous/3.jpg,right
Fix2,stimuli/Healthy/7.jpg,right
Fix2,stimuli/Healthy/41.jpg,right
Fix2,stimuli/Healthy/31.jpg,right
Fix1,stimuli/Old/21.jpg,left
Cond,stimuli/Dangerous/37.jpg,right
Fix2,stimuli/Healthy/35.jpg,right
Fix2,stimuli/Healthy/53.jpg,right
Fix1,stimuli/Old/5.jpg,left
Cond,stimuli/Dangerous/4.jpg,right
Cond,stimuli/Dangerous/2.jpg,left
Cond,stimuli/Dangerous/8.jpg,right
Fix1,stimuli/Old/48.jpg,left
Fix2,stimuli/Healthy/34.jpg,right
Fix1,stimuli/Old/19.jpg,left
Fix2,stimuli/Healthy/3.jpg,right
